ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	FoldEnrich
BP	GO:0002679	respiratory burst involved in defense response	20/246	237/39756	5.324589406753731e-17	3.0722880876969025e-14	2.712738181967164e-14	Zm00001eb054960/Zm00001eb058370/Zm00001eb068530/Zm00001eb074930/Zm00001eb150840/Zm00001eb206730/Zm00001eb214230/Zm00001eb221780/Zm00001eb234120/Zm00001eb246640/Zm00001eb275080/Zm00001eb375580/Zm00001eb426670/Zm00001eb432090/Zm00001eb086280/Zm00001eb178160/Zm00001eb313960/Zm00001eb326660/Zm00001eb367110/Zm00001eb370730	20	0.08438818565400844	13.637954101059998
BP	GO:0009695	jasmonic acid biosynthetic process	18/246	228/39756	6.490623831296863e-15	1.872544975329145e-12	1.6534010180777273e-12	Zm00001eb022980/Zm00001eb035010/Zm00001eb058370/Zm00001eb081380/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb258950/Zm00001eb275080/Zm00001eb327450/Zm00001eb349390/Zm00001eb390330/Zm00001eb419490/Zm00001eb426670/Zm00001eb005460/Zm00001eb081610/Zm00001eb140600/Zm00001eb271760	18	0.07894736842105263	12.758664955070603
BP	GO:0009873	ethylene-activated signaling pathway	19/246	341/39756	6.088259123337882e-13	1.1709751713886527e-10	1.0339359353317668e-10	Zm00001eb058370/Zm00001eb068530/Zm00001eb074730/Zm00001eb074930/Zm00001eb150840/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb275080/Zm00001eb288320/Zm00001eb352580/Zm00001eb367840/Zm00001eb375580/Zm00001eb426670/Zm00001eb432090/Zm00001eb140600/Zm00001eb232560/Zm00001eb313960/Zm00001eb347860	19	0.05571847507331378	9.00464916672627
BP	GO:0009867	jasmonic acid mediated signaling pathway	21/246	499/39756	7.605363583904068e-12	1.0970736969781617e-9	9.686831512130444e-10	Zm00001eb022980/Zm00001eb121780/Zm00001eb161780/Zm00001eb194060/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb294180/Zm00001eb327450/Zm00001eb367840/Zm00001eb390330/Zm00001eb397190/Zm00001eb426670/Zm00001eb062680/Zm00001eb127680/Zm00001eb271760/Zm00001eb313960/Zm00001eb326660/Zm00001eb347860	21	0.04208416833667335	6.801212180458478
BP	GO:0009620	response to fungus	13/246	189/39756	2.2389659105947695e-10	2.5837666608263643e-8	2.2813884225849865e-8	Zm00001eb022980/Zm00001eb035010/Zm00001eb058370/Zm00001eb074930/Zm00001eb081380/Zm00001eb119400/Zm00001eb349390/Zm00001eb390330/Zm00001eb419490/Zm00001eb005460/Zm00001eb081610/Zm00001eb140600/Zm00001eb271760	13	0.06878306878306878	11.116014969673508
BP	GO:0009719	response to endogenous stimulus	14/246	320/39756	1.5828392810799992e-8	1.522163775305266e-6	1.3440249334082801e-6	Zm00001eb047280/Zm00001eb190130/Zm00001eb228180/Zm00001eb290550/Zm00001eb388620/Zm00001eb058130/Zm00001eb103100/Zm00001eb103110/Zm00001eb178160/Zm00001eb197890/Zm00001eb293830/Zm00001eb318890/Zm00001eb367110/Zm00001eb370730	14	0.04375	7.070426829268293
BP	GO:0043069	negative regulation of programmed cell death	14/246	354/39756	5.559050307106225e-8	4.582245753143274e-6	4.0459854866758094e-6	Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb327450/Zm00001eb367840/Zm00001eb390330/Zm00001eb397190/Zm00001eb058130/Zm00001eb062680/Zm00001eb197890/Zm00001eb217590/Zm00001eb313960/Zm00001eb326660	14	0.03954802259887006	6.39134628634422
BP	GO:0042538	hyperosmotic salinity response	13/246	306/39756	7.321435280213916e-8	5.280585195854287e-6	4.662598257399389e-6	Zm00001eb058370/Zm00001eb068530/Zm00001eb074930/Zm00001eb161780/Zm00001eb214230/Zm00001eb221780/Zm00001eb327450/Zm00001eb367840/Zm00001eb375580/Zm00001eb426670/Zm00001eb432090/Zm00001eb271760/Zm00001eb313960	13	0.042483660130718956	6.865773951857166
BP	GO:0052542	defense response by callose deposition	8/246	97/39756	1.7246430383193426e-7	1.1056878145669564e-5	9.762891585339905e-6	Zm00001eb221780/Zm00001eb426670/Zm00001eb058130/Zm00001eb140600/Zm00001eb197890/Zm00001eb271760/Zm00001eb313960/Zm00001eb326660	8	0.08247422680412371	13.32863967814936
BP	GO:0009753	response to jasmonic acid	13/246	365/39756	5.481247483402691e-7	3.162679797923353e-5	2.7925513494388447e-5	Zm00001eb006000/Zm00001eb035010/Zm00001eb048770/Zm00001eb048780/Zm00001eb058370/Zm00001eb081380/Zm00001eb214230/Zm00001eb275490/Zm00001eb349390/Zm00001eb419490/Zm00001eb005460/Zm00001eb081610/Zm00001eb140600	13	0.03561643835616438	5.755963915803542
BP	GO:0031348	negative regulation of defense response	13/246	415/39756	2.2750343654914937e-6	1.1933589353532653e-4	1.0537001271750076e-4	Zm00001eb121780/Zm00001eb161780/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb277540/Zm00001eb327450/Zm00001eb367840/Zm00001eb397190/Zm00001eb062680/Zm00001eb313960/Zm00001eb326660/Zm00001eb347860	13	0.03132530120481928	5.062474287393477
BP	GO:0030968	endoplasmic reticulum unfolded protein response	12/246	354/39756	2.5052130172991164e-6	1.2045899258179919e-4	1.0636167547129583e-4	Zm00001eb194060/Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb327450/Zm00001eb367840/Zm00001eb370720/Zm00001eb058130/Zm00001eb062680/Zm00001eb140600/Zm00001eb313960/Zm00001eb326660	12	0.03389830508474576	5.478296816866474
BP	GO:2000022	regulation of jasmonic acid mediated signaling pathway	6/246	66/39756	3.5171832879907855e-6	1.5610882747466796e-4	1.3783940982895062e-4	Zm00001eb006000/Zm00001eb048770/Zm00001eb048780/Zm00001eb190130/Zm00001eb327450/Zm00001eb347860	6	0.09090909090909091	14.69179600886918
BP	GO:0006984	ER-nucleus signaling pathway	11/246	321/39756	5.949828034658684e-6	2.4521791257129007e-4	2.165200578026168e-4	Zm00001eb194060/Zm00001eb206730/Zm00001eb275080/Zm00001eb327450/Zm00001eb367840/Zm00001eb370720/Zm00001eb058130/Zm00001eb062680/Zm00001eb140600/Zm00001eb313960/Zm00001eb326660	11	0.03426791277258567	5.538029025150065
BP	GO:0009693	ethylene biosynthetic process	9/246	221/39756	1.0824581192214645e-5	4.1638555652719e-4	3.676559506689045e-4	Zm00001eb081380/Zm00001eb193690/Zm00001eb313460/Zm00001eb327450/Zm00001eb055950/Zm00001eb081610/Zm00001eb140600/Zm00001eb178160/Zm00001eb367110	9	0.04072398190045249	6.581392782253614
BP	GO:0002697	regulation of immune effector process	4/246	25/39756	1.6338018467990668e-5	5.891897910019134e-4	5.202369038491766e-4	Zm00001eb206730/Zm00001eb234120/Zm00001eb275080/Zm00001eb388620	4	0.16	25.85756097560976
