ontology	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	FoldEnrich
BP	GO:0042538	hyperosmotic salinity response	55/1903	306/39756	2.1692303264411665e-17	2.982691698856604e-14	2.7948820205936716e-14	Zm00001eb005990/Zm00001eb012040/Zm00001eb028610/Zm00001eb045780/Zm00001eb058370/Zm00001eb066880/Zm00001eb068530/Zm00001eb074930/Zm00001eb078810/Zm00001eb080140/Zm00001eb100250/Zm00001eb101180/Zm00001eb129790/Zm00001eb136760/Zm00001eb148400/Zm00001eb149810/Zm00001eb151190/Zm00001eb153470/Zm00001eb155410/Zm00001eb160330/Zm00001eb161780/Zm00001eb193860/Zm00001eb197260/Zm00001eb205480/Zm00001eb207640/Zm00001eb212430/Zm00001eb214230/Zm00001eb221780/Zm00001eb222030/Zm00001eb225410/Zm00001eb245030/Zm00001eb247570/Zm00001eb271760/Zm00001eb280670/Zm00001eb285830/Zm00001eb300240/Zm00001eb309920/Zm00001eb312900/Zm00001eb313960/Zm00001eb314240/Zm00001eb314890/Zm00001eb324070/Zm00001eb324600/Zm00001eb326900/Zm00001eb327450/Zm00001eb343720/Zm00001eb363140/Zm00001eb366970/Zm00001eb367840/Zm00001eb368060/Zm00001eb375580/Zm00001eb378210/Zm00001eb401490/Zm00001eb426670/Zm00001eb432090	55	0.17973856209150327	3.7549586308511844
BP	GO:0002679	respiratory burst involved in defense response	46/1903	237/39756	4.3198824020019403e-16	2.969919151376334e-13	2.782913715815987e-13	Zm00001eb012340/Zm00001eb045780/Zm00001eb054960/Zm00001eb058370/Zm00001eb068530/Zm00001eb071550/Zm00001eb071590/Zm00001eb074930/Zm00001eb086280/Zm00001eb101180/Zm00001eb148580/Zm00001eb150840/Zm00001eb153470/Zm00001eb159410/Zm00001eb161090/Zm00001eb178160/Zm00001eb193860/Zm00001eb197260/Zm00001eb206730/Zm00001eb214230/Zm00001eb221780/Zm00001eb232420/Zm00001eb234120/Zm00001eb246640/Zm00001eb247570/Zm00001eb249320/Zm00001eb253880/Zm00001eb253960/Zm00001eb275080/Zm00001eb295470/Zm00001eb313960/Zm00001eb317020/Zm00001eb323660/Zm00001eb326660/Zm00001eb340160/Zm00001eb353710/Zm00001eb354920/Zm00001eb367110/Zm00001eb368070/Zm00001eb370730/Zm00001eb375580/Zm00001eb401490/Zm00001eb426670/Zm00001eb430440/Zm00001eb430640/Zm00001eb432090	46	0.1940928270042194	4.054836799989357
BP	GO:0009873	ethylene-activated signaling pathway	48/1903	341/39756	2.533503880067789e-11	1.1611892783644033e-8	1.088073245334377e-8	Zm00001eb015440/Zm00001eb045780/Zm00001eb058370/Zm00001eb062530/Zm00001eb067980/Zm00001eb068530/Zm00001eb074730/Zm00001eb074930/Zm00001eb100180/Zm00001eb125330/Zm00001eb129790/Zm00001eb140600/Zm00001eb150830/Zm00001eb150840/Zm00001eb153470/Zm00001eb156040/Zm00001eb161090/Zm00001eb171050/Zm00001eb197260/Zm00001eb206730/Zm00001eb221780/Zm00001eb232560/Zm00001eb234120/Zm00001eb245030/Zm00001eb247570/Zm00001eb249320/Zm00001eb250540/Zm00001eb273390/Zm00001eb275080/Zm00001eb288320/Zm00001eb294830/Zm00001eb313960/Zm00001eb317020/Zm00001eb323290/Zm00001eb347860/Zm00001eb348760/Zm00001eb352580/Zm00001eb354920/Zm00001eb367840/Zm00001eb369560/Zm00001eb374270/Zm00001eb375580/Zm00001eb389830/Zm00001eb391190/Zm00001eb426670/Zm00001eb429800/Zm00001eb430640/Zm00001eb432090	48	0.14076246334310852	2.9407002063418926
BP	GO:0043069	negative regulation of programmed cell death	45/1903	354/39756	2.8839089866742956e-9	9.913437141692892e-7	9.289222630761417e-7	Zm00001eb005990/Zm00001eb011480/Zm00001eb012340/Zm00001eb058130/Zm00001eb062680/Zm00001eb077540/Zm00001eb080140/Zm00001eb082270/Zm00001eb147900/Zm00001eb153470/Zm00001eb159420/Zm00001eb161780/Zm00001eb196380/Zm00001eb197320/Zm00001eb197890/Zm00001eb205480/Zm00001eb206730/Zm00001eb212430/Zm00001eb217590/Zm00001eb234120/Zm00001eb253880/Zm00001eb259080/Zm00001eb261440/Zm00001eb275080/Zm00001eb277520/Zm00001eb289990/Zm00001eb290300/Zm00001eb295470/Zm00001eb313960/Zm00001eb323660/Zm00001eb326660/Zm00001eb326900/Zm00001eb327450/Zm00001eb343720/Zm00001eb351930/Zm00001eb354920/Zm00001eb367670/Zm00001eb367840/Zm00001eb368060/Zm00001eb377050/Zm00001eb379050/Zm00001eb384590/Zm00001eb390330/Zm00001eb397190/Zm00001eb429270	45	0.1271186440677966	2.6556641164263386
BP	GO:0009719	response to endogenous stimulus	42/1903	320/39756	3.7063470060501723e-9	1.000490380200533e-6	9.374929954950832e-7	Zm00001eb012340/Zm00001eb038410/Zm00001eb044260/Zm00001eb047280/Zm00001eb058130/Zm00001eb071550/Zm00001eb071590/Zm00001eb103100/Zm00001eb103110/Zm00001eb106490/Zm00001eb148580/Zm00001eb149760/Zm00001eb159410/Zm00001eb178160/Zm00001eb187310/Zm00001eb190130/Zm00001eb196380/Zm00001eb197890/Zm00001eb198550/Zm00001eb228180/Zm00001eb232420/Zm00001eb247580/Zm00001eb248900/Zm00001eb258360/Zm00001eb288400/Zm00001eb290550/Zm00001eb293830/Zm00001eb318890/Zm00001eb318900/Zm00001eb323660/Zm00001eb325880/Zm00001eb340160/Zm00001eb353330/Zm00001eb353710/Zm00001eb367110/Zm00001eb368070/Zm00001eb370730/Zm00001eb385110/Zm00001eb388620/Zm00001eb389190/Zm00001eb428110/Zm00001eb430440	42	0.13125	2.741973200210195
BP	GO:0009695	jasmonic acid biosynthetic process	34/1903	228/39756	4.365776204511416e-9	1.000490380200533e-6	9.374929954950832e-7	Zm00001eb005460/Zm00001eb005990/Zm00001eb011480/Zm00001eb022980/Zm00001eb035010/Zm00001eb045780/Zm00001eb058370/Zm00001eb081380/Zm00001eb081610/Zm00001eb099240/Zm00001eb100250/Zm00001eb140600/Zm00001eb143300/Zm00001eb149810/Zm00001eb206730/Zm00001eb221780/Zm00001eb234120/Zm00001eb247570/Zm00001eb248880/Zm00001eb258130/Zm00001eb258950/Zm00001eb259070/Zm00001eb271760/Zm00001eb275080/Zm00001eb314240/Zm00001eb327450/Zm00001eb329070/Zm00001eb343720/Zm00001eb349390/Zm00001eb366970/Zm00001eb378210/Zm00001eb390330/Zm00001eb419490/Zm00001eb426670	34	0.14912280701754385	3.1153580219597865
BP	GO:0009867	jasmonic acid mediated signaling pathway	54/1903	499/39756	2.497526999287502e-8	4.905856605743307e-6	4.596951950568275e-6	Zm00001eb005990/Zm00001eb011480/Zm00001eb022980/Zm00001eb045780/Zm00001eb060880/Zm00001eb062680/Zm00001eb068050/Zm00001eb077540/Zm00001eb080140/Zm00001eb099240/Zm00001eb113580/Zm00001eb121020/Zm00001eb121780/Zm00001eb127680/Zm00001eb153470/Zm00001eb157340/Zm00001eb159420/Zm00001eb161780/Zm00001eb172940/Zm00001eb191220/Zm00001eb194060/Zm00001eb205480/Zm00001eb206730/Zm00001eb212430/Zm00001eb221780/Zm00001eb223590/Zm00001eb234120/Zm00001eb247570/Zm00001eb253860/Zm00001eb253880/Zm00001eb271760/Zm00001eb273380/Zm00001eb275080/Zm00001eb277540/Zm00001eb289990/Zm00001eb294180/Zm00001eb295470/Zm00001eb313960/Zm00001eb324600/Zm00001eb326660/Zm00001eb326900/Zm00001eb327450/Zm00001eb343720/Zm00001eb347860/Zm00001eb348300/Zm00001eb363140/Zm00001eb366970/Zm00001eb367840/Zm00001eb368060/Zm00001eb378210/Zm00001eb390330/Zm00001eb397190/Zm00001eb426670/Zm00001eb429270	54	0.10821643286573146	2.2607737808775723
BP	GO:0009620	response to fungus	29/1903	189/39756	3.0665868052116054e-8	5.270696071457447e-6	4.93881874944606e-6	Zm00001eb005460/Zm00001eb016930/Zm00001eb022980/Zm00001eb028610/Zm00001eb035010/Zm00001eb058370/Zm00001eb074930/Zm00001eb078740/Zm00001eb081380/Zm00001eb081610/Zm00001eb100250/Zm00001eb119400/Zm00001eb140600/Zm00001eb146720/Zm00001eb149810/Zm00001eb177830/Zm00001eb248880/Zm00001eb258130/Zm00001eb259070/Zm00001eb271760/Zm00001eb284700/Zm00001eb292770/Zm00001eb314240/Zm00001eb329070/Zm00001eb349390/Zm00001eb366970/Zm00001eb378210/Zm00001eb390330/Zm00001eb419490	29	0.15343915343915343	3.2055317835664656
BP	GO:0009753	response to jasmonic acid	43/1903	365/39756	6.0087208352066e-8	9.179990164898973e-6	8.601958248295765e-6	Zm00001eb005460/Zm00001eb005980/Zm00001eb006000/Zm00001eb012020/Zm00001eb012040/Zm00001eb028610/Zm00001eb035010/Zm00001eb048770/Zm00001eb048780/Zm00001eb058370/Zm00001eb067710/Zm00001eb081380/Zm00001eb081610/Zm00001eb100250/Zm00001eb101180/Zm00001eb109860/Zm00001eb129790/Zm00001eb136760/Zm00001eb140600/Zm00001eb146230/Zm00001eb149810/Zm00001eb193860/Zm00001eb214230/Zm00001eb222030/Zm00001eb225410/Zm00001eb245030/Zm00001eb248880/Zm00001eb258130/Zm00001eb259070/Zm00001eb275490/Zm00001eb296690/Zm00001eb314240/Zm00001eb322120/Zm00001eb324070/Zm00001eb324550/Zm00001eb329070/Zm00001eb348760/Zm00001eb349390/Zm00001eb366540/Zm00001eb375570/Zm00001eb387370/Zm00001eb401490/Zm00001eb419490	43	0.1178082191780822	2.4611579409584
BP	GO:0030968	endoplasmic reticulum unfolded protein response	40/1903	354/39756	5.126388444207517e-7	7.048784110785336e-5	6.604946795484212e-5	Zm00001eb005990/Zm00001eb011480/Zm00001eb016100/Zm00001eb025560/Zm00001eb043750/Zm00001eb058130/Zm00001eb062680/Zm00001eb071550/Zm00001eb101180/Zm00001eb140600/Zm00001eb193860/Zm00001eb194060/Zm00001eb196380/Zm00001eb198470/Zm00001eb206730/Zm00001eb212430/Zm00001eb227950/Zm00001eb234120/Zm00001eb261440/Zm00001eb275080/Zm00001eb289990/Zm00001eb290300/Zm00001eb313960/Zm00001eb314890/Zm00001eb326660/Zm00001eb327450/Zm00001eb329590/Zm00001eb343720/Zm00001eb351930/Zm00001eb354920/Zm00001eb367840/Zm00001eb368060/Zm00001eb370720/Zm00001eb377050/Zm00001eb401490/Zm00001eb422850/Zm00001eb429210/Zm00001eb429270/Zm00001eb430440/Zm00001eb431130	40	0.11299435028248588	2.360590325712301
